"Full_Address","latitude","longitude"
"2196 HIGHWAY 471, BRANDON, MS 39047",32.3338745,-89.9769083
"977 EUCLATUBBA ROAD, SALTILLO, MS 38866",NA,NA
"217 INDUSTRIAL PARK RD, STARKVILLE, MS 39759",33.448675,-88.8366517
"4450 RIFLE RANGE RD, VICKSBURG, MS 39180",32.2983347,-90.8988991
"1313 GREEN T RD E, HERNANDO, MS 38632",34.8604312,-89.9668531
"3984 HWY 51 S -, GRENADA, MS 38901",NA,NA
"27 CR 342, IUKA, MS 38852",NA,NA
"5484 HWY 145 S, VERONA, MS 38879",NA,NA
"404 MUELLER RD, FULTON, MS 38843",34.249716,-88.4105242
"404 MUELLER RD -, FULTON, MS 38843",34.249716,-88.4105242
"1033 S SPRINGS ST EXTENSION, FULTON, MS 38843",NA,NA
"1033 S SPRINGS ST EXTENSION -, FULTON, MS 38843",NA,NA
"3870 HWY 84 E -, LAUREL, MS 39443",NA,NA
"500 WATERWAY DR, AMORY, MS 38821",33.9948269,-88.5028337
"500 WATERWAY DR -, AMORY, MS 38821",33.9948269,-88.5028337
"7572 HIGHWAY 49 N, HATTIESBURG, MS 39402",NA,NA
"300 NISSAN DR, CANTON, MS 39046",NA,NA
"720 VAIDEN DR, HERNANDO, MS 38632",34.8154999,-89.9745193
"1194 HWY 145, GUNTOWN, MS 38849",NA,NA
"11167 PATTISON HERMANVILLE RD, HERMANVILLE, MS 39086",NA,NA
"11167 PATTISON HERMANVILLE RD -, HERMANVILLE, MS 39086",NA,NA
"211 INDUSTRIAL DR, MADISON, MS 39110",32.4235241,-90.1415355
"211 INDUSTRIAL DR -, MADISON, MS 39110",32.4235241,-90.1415355
"3630 FOURTH ST, FLOWOOD, MS 39232",32.3121595,-90.1342018
"1927 N THEOBALD ST, GREENVILLE, MS 38703",33.4301866,-91.0345039
"6604 OLD HWY 80W, MERIDIAN, MS 39307",NA,NA
"100 CHESTNUT ST, PACHUTA, MS 39347",32.042831,-88.882002
"800 ODOM INDUSTRIES RD, WAYNESBORO, MS 39367",NA,NA
"157 HIGHWAY 48 W, TYLERTOWN, MS 39667",NA,NA
"411 COUNTY RD 101, OXFORD, MS 38655",NA,NA
"5735 ELDER FERRY RD, MOSS POINT, MS 39563",30.4241804,-88.5147499
"808 12TH STREET, GREENWOOD, MS 38930",33.517022,-90.2047478
"147 W HOY RD, MADISON, MS 39110",32.4650005,-90.1119436
"805 WEST ST, HOLLY SPRINGS, MS 38635",34.7918344,-89.4411686
"364 STAFFORD BLVD, PONTOTOC, MS 38863",34.267108,-89.017171
"16 INDUSTRIAL RD - BUILDING #19, BELMONT, MS 38827",NA,NA
